Region,ABC_XYZ,mu_week_sum,beta_base_dw,beta_new_dw,Δbeta_dw
Asia,AX,2893.018795550441,0.9788518740634381,0.981774333746287,0.002922459682848877
Asia,AY,10419.620253164558,0.9803834366504812,0.9831991297150113,0.0028156930645301115
Asia,BX,103.14537782892215,0.9611881428493043,0.9665870957528497,0.005398952903545418
Asia,BY,7181.185270425777,0.96085268521954,0.9666325766231109,0.005779891403570825
Asia,CY,3582.0675105485234,0.9238959449071271,0.935347584274774,0.011451639367646926
Asia,CZ,177.13847334100495,0.9114916643290518,0.9254322649165879,0.0139406005875361
Europe,AX,7545.780590717301,0.980819568326324,0.9817725575122546,0.0009529891859305639
Europe,AY,13740.103567318758,0.9819613787270857,0.9828456405012974,0.0008842617742117476
Europe,BX,100.88224012274645,0.9651119047357019,0.9667640865218059,0.0016521817861040455
Europe,BY,12702.22477943997,0.9637656855782019,0.9655304089567847,0.0017647233785827998
Europe,CY,6508.764863828155,0.9299782053829797,0.933418612071235,0.003440406688255293
Europe,CZ,227.59877253548143,0.908927895526722,0.9134384016199842,0.004510506093262201
North America,AX,83813.44457230534,0.9852656103165869,0.9852656103165869,0.0
North America,AY,11646.566935174531,0.9868380995295596,0.9868380995295596,0.0
North America,BX,795.3778289221328,0.9727416328518745,0.9727416328518745,0.0
North America,BY,39622.22861526659,0.9741248289960823,0.9741248289960824,1.1102230246251565e-16
North America,CX,217.62562332182586,0.9533495047654343,0.9533495047654343,0.0
North America,CY,21547.334100498658,0.948295132873388,0.948295132873388,0.0
